source_path,label
G:\Capstone\data\audio_data\audioset_clips\siren\mmL5v36jxhQ_490.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\siren\_lkuZpt1Jt0_30.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\fire\aY_5jD2TAbY_0.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\scream\G--718JDmAQ_0.0.wav,3
G:\Capstone\data\audio_data\audioset_clips\siren\_VhZ0z8UlD0_30.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-HN5kqCKpEA_30.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\siren\HqzzvRL1raY_170.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\siren\lnClssYHVsE_30.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\fire\620GoTv5Ic8_30.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\speech_normal\0SypBcVpZ0E_140.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\speech_normal\0NSzeHaja5o_30.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-xeYpMf97eU_180.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\scream\C4YMjmJ7tt4_90.0.wav,3
G:\Capstone\data\audio_data\audioset_clips\fire\jRq2avfZTdQ_10.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-uWB_lkFDhg_140.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\siren\liDk5JhUyoQ_20.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\fire\mh3KaP-1oQM_130.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-uCkr7KFkYg_160.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\siren\Vw60Ox3YXq0_70.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\fire\73cuZZq-J3w_20.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\siren\MvvZ2akuEKU_0.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\siren\WKDgLWhb0ro_30.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\siren\BlfvcQ3gqFg_90.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-RIzfomIqZc_30.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\siren\2Pq9c0tFt1g_30.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-lw0uLmWjlE_240.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\fire\J0K2T_WJg6w_30.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\scream\VxuMKb5CKI0_30.0.wav,3
G:\Capstone\data\audio_data\audioset_clips\speech_normal\0auuJJiE2xI_30.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\siren\FgMI3yEXj1Q_30.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\siren\Rtel5iGCPO8_40.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-JBvPwxaVVg_110.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\fire\Os_DQIRQgXw_2.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\fire\wspG1oMwpQU_590.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\speech_normal\07aVkZp3k7Q_80.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\siren\F0LSs8MZN4w_20.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\scream\5kQF4r03yRI_0.0.wav,3
G:\Capstone\data\audio_data\audioset_clips\scream\jr-W3ma9aBc_0.0.wav,3
G:\Capstone\data\audio_data\audioset_clips\siren\lvtAPn1aqQc_30.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\scream\Auyq_491HGc_30.0.wav,3
G:\Capstone\data\audio_data\audioset_clips\siren\IcPca0d-14o_460.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-G3Ph35cTy0_30.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\siren\wNcauFdpks0_6.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\siren\VXI3-DI4xNs_30.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\fire\5qi5sjbJM08_30.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\siren\fKBY2_IG86g_130.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-U3Xh6Fsw50_0.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-pjK2u3Qtxc_230.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\siren\03NLMEMi8-I_30.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-QivqOnaPIc_100.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\speech_normal\0DefiYiEF4E_19.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-DvxsHG1tuo_410.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-ItCGHv_9Gs_3.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\fire\p70IcMwsW9M_30.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\fire\G7ZE5J9gHMQ_150.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\siren\81-uERZml1w_10.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-WmL01c-4ZE_20.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\fire\C1EjihFnp3o_30.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\siren\-_dElQcyJnA_30.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-uIEWKSQ1z4_30.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\speech_normal\0VwX92X3iPc_30.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-mNbbwgUZtQ_140.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\siren\-gKNRXbpAKs_30.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\fire\ZZ5IinzbauY_30.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\fire\NwGcF_Ud-ig_0.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\siren\7ezEF7-FN0g_40.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\siren\etppP5Sdo14_30.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\fire\wwNIm8bgzKc_30.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\scream\UdY8WXNiuzw_10.0.wav,3
G:\Capstone\data\audio_data\audioset_clips\speech_normal\0-bqcP2usR4_30.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\speech_normal\0L7-8yqgMEo_130.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\siren\0PhU-PIsUMw_80.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\scream\FaYQcP0hKmU_330.0.wav,3
G:\Capstone\data\audio_data\audioset_clips\fire\HQkLVac7z9Q_70.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\scream\dqIU9-Qu9ug_70.0.wav,3
G:\Capstone\data\audio_data\audioset_clips\siren\fzoRJ3-NJLE_30.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\siren\t2DrvtWfCqE_60.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\speech_normal\06k-cXmaeAY_30.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\fire\2A-fcVtGqnk_30.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\scream\2V56kbDXe4o_30.0.wav,3
G:\Capstone\data\audio_data\audioset_clips\siren\RQeDG6hDGl0_180.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\scream\-FKrYTj_eCU_0.0.wav,3
G:\Capstone\data\audio_data\audioset_clips\fire\UQtbZNMp1nY_90.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-gfBxHm8lhg_90.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\fire\9gp9FpidesQ_30.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\speech_normal\021B2ozAjNg_110.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\siren\BAB5U7kCOH0_380.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\fire\wu3-_VKULZU_30.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\siren\j1cL9eMKgck_280.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\siren\W_1YEyhD3ko_140.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\siren\jZnLtcRKxss_30.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\siren\nagRgYmxhx8_220.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\fire\FH0MZoQHSro_30.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\speech_normal\0Q5mzNz2hiA_0.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\fire\xk4DxZZc9So_140.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-N2reaP4SoI_30.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\speech_normal\0XjfhlZVmO0_60.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\siren\Lb2eI4GApc4_30.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\speech_normal\0_h8K8CMaF0_30.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\speech_normal\0TPOLU68O9s_8.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\siren\E_GwHraQ-L4_30.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\siren\LqzVc-jd3Nc_60.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\fire\66kfjGs-5AA_30.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-xUhOdzwLtw_0.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-g6_Qzkrmug_30.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-6gC_nlUBfA_60.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\siren\weJn1J9RQcI_0.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\siren\_Tq-0qgB7m4_10.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\speech_normal\0GQFYsxMP9Y_130.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-6x2PtSRfJU_30.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\speech_normal\0Zh8HjR0CbM_25.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\fire\JotcVa4XMLg_30.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\siren\WtvSnE0-N4M_120.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\siren\ZQnAtQmUhKQ_400.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\fire\5ftfKerE6s0_490.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\fire\7xwp-c2wefM_30.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\siren\jvRhGrWnQLA_440.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\siren\CHBhh3ASk5Q_30.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\fire\0R348vGkjyw_30.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\siren\ZGNVQpRqZ4Y_50.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\speech_normal\0Y2Pt02QXFQ_30.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\siren\s1L8oRfvGf0_30.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\siren\OLVYyUZrDdE_180.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-M_5w6KKfgQ_0.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\speech_normal\03kFLTZguBs_100.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\speech_normal\0I3E-auy8JA_30.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\fire\-x2aAKUtNRw_30.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\speech_normal\09w-ZFasRvE_60.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\fire\kw5kCegHsyk_40.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\fire\Ju7Kg_H2iZQ_30.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\fire\pEwS6giexfg_20.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\scream\QT02wb27wCA_100.0.wav,3
G:\Capstone\data\audio_data\audioset_clips\fire\gGmWm1i6pVo_30.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\siren\ZCgE23s5bt0_30.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\scream\aVdPh-RiNcc_0.0.wav,3
G:\Capstone\data\audio_data\audioset_clips\fire\58SoI7YKr4o_30.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\fire\TWDytzefXXc_10.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\fire\4YjA50pOah4_15.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-rIyGq-gIQw_180.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\fire\FPnCSqW4p9A_0.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\scream\JWZpp-w5TcU_150.0.wav,3
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-z0muTLomL4_11.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\siren\9tqxUvjZfNA_30.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\scream\FcUVtXJMkJs_30.0.wav,3
G:\Capstone\data\audio_data\audioset_clips\speech_normal\02JEvDAcq7U_10.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\siren\huMQnPm6qK0_30.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\fire\3HfgmWYXlvo_30.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\fire\Kkm6JA6zba0_30.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\siren\pC_R_4iYp-M_30.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\scream\1LTxZ2aNytc_30.0.wav,3
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-Jam3cjbeFQ_30.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\fire\c97-nxGomNQ_110.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\fire\6U942AYlcXA_30.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\fire\2d4HQ8ZM_2k_30.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-KiAK66YwW8_150.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\siren\-z47zN0YyE4_420.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\speech_normal\0FMdORf5iGs_30.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\siren\5quD8nDBLnU_60.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\scream\AxM2BofYfPY_30.0.wav,3
G:\Capstone\data\audio_data\audioset_clips\siren\TveGcg-tuZg_70.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\speech_normal\0NbN9By4eYw_30.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\siren\bDNz4NDWzaM_70.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-zBm-sH0vOk_50.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-Mu1AWT_x54_320.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\speech_normal\07J4uVMPSW4_30.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\siren\SXQF06ZPEi8_30.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\siren\6F3YIb0Uw4I_30.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\siren\lYYKDnied3g_50.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-Ar7D-GARhI_30.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\fire\8ltlZZLuf4k_0.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\fire\52uYyV64Nbk_30.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\fire\H8d1mZOqb1c_110.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-peDsjbcA-0_40.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-5xOcMJpTUk_70.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\siren\4lflH2Jvm8k_30.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\siren\VT_BC6l_HeY_0.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-T-ZI1MZ44g_40.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-fnhkx-XXeI_340.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\fire\adEy5j4XiJk_30.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-eEhWLICanU_160.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\siren\Al2qQMp2RUA_30.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\fire\_oqjmbfLg0o_30.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\siren\aOmRbSkPdVw_250.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\fire\7e2ifgqrN1Q_10.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\siren\UNERF2UwHXk_430.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\siren\HDtWg47wzGg_130.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\siren\vqhJYScDw9k_190.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-V7u2HffQAE_160.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\speech_normal\02R_w3cr1i4_5.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\siren\NP8qMhyC2N4_0.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\fire\5yZ9mCbnBGM_22.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\fire\nH0MNGgnj-o_19.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\speech_normal\09aRpEfUxT0_30.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\siren\RiL4IvgFN6Q_30.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\scream\Bkq1PAyGuZY_8.0.wav,3
G:\Capstone\data\audio_data\audioset_clips\scream\u0WLBqVXAM0_70.0.wav,3
G:\Capstone\data\audio_data\audioset_clips\siren\HDDxzqEUy74_150.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\siren\KdGHXLe3C9E_20.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\siren\xOdntZSjcds_50.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\siren\J9hPHw_EKBU_30.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\siren\D_zlJGQz0Eg_30.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\siren\9GKalHsMARA_60.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\siren\AV76SZTw6z8_30.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\speech_normal\0SEHGxAQL18_30.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\fire\6b2ZMMrLTz8_5.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\siren\61ZirC2IlLg_210.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\siren\O7Ae53L5U1Q_1.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-5S70zOSw30_30.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\siren\vSUTqtuykDc_1.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-z0q4AgXQwo_30.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-JuVh6islEI_30.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\scream\jWQIPRmqwqw_160.0.wav,3
G:\Capstone\data\audio_data\audioset_clips\siren\3uZy0wkterE_30.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-dEOa2GkXHw_30.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\scream\W4R_63_UxSw_10.0.wav,3
G:\Capstone\data\audio_data\audioset_clips\scream\vGdfIUCkVEU_100.0.wav,3
G:\Capstone\data\audio_data\audioset_clips\siren\CvHu8TxyXXQ_30.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-6RN8skIHU4_20.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\siren\Py4g6GeGHjQ_30.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\siren\NUJuiMKbyhc_250.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\siren\ESlAhH9pVXs_10.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-gie2dhqP2c_440.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\siren\foLEI7XUaBM_330.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\siren\E4U4ZLHm4WI_180.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-L68XDzhn2g_80.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\fire\0ix_rHxU54w_30.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\scream\D4GhIt5THAI_0.0.wav,3
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-Ry1YNVPPCM_9.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\siren\w1Kb6BNXJQg_30.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\siren\n5CNDVuGtK0_80.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\fire\1HayoASR-54_80.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\speech_normal\--aE2O5G5WE_0.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\siren\Pi4In494rAg_30.0.wav,1
G:\Capstone\data\audio_data\audioset_clips\speech_normal\0B3y6sa8jgw_540.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-AIrHVeCgtM_30.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\speech_normal\-lYg4hm25hU_30.0.wav,0
G:\Capstone\data\audio_data\audioset_clips\fire\DmkZqoczclo_0.0.wav,2
G:\Capstone\data\audio_data\audioset_clips\siren\HOlAFkMT1Do_30.0.wav,1
