source_path,stem,category,cat_idx,binary_label
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos311_x264_158.npz,Normal_Videos311_x264_158,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos271_x264_114.npz,Normal_Videos271_x264_114,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos489_x264_256.npz,Normal_Videos489_x264_256,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos464_x264_320.npz,Normal_Videos464_x264_320,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos434_x264_115.npz,Normal_Videos434_x264_115,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Abuse\Abuse046_x264_71.npz,Abuse046_x264_71,Abuse,0,1
G:\event_frame_duration533326\event_frame_duration533326\Arson\Arson002_x264_274.npz,Arson002_x264_274,Arson,2,1
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos374_x264_23.npz,Normal_Videos374_x264_23,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos197_x264_153.npz,Normal_Videos197_x264_153,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Stealing\Stealing104_x264npz_198.npz,Stealing104_x264npz_198,Stealing,12,1
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos009_x264_45.npz,Normal_Videos009_x264_45,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos083_x264_35.npz,Normal_Videos083_x264_35,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos062_x264_97.npz,Normal_Videos062_x264_97,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos657_x264_92.npz,Normal_Videos657_x264_92,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos845_x264_33.npz,Normal_Videos845_x264_33,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Abuse\Abuse029_x264_18.npz,Abuse029_x264_18,Abuse,0,1
G:\event_frame_duration533326\event_frame_duration533326\Stealing\Stealing008_x264npz_312.npz,Stealing008_x264npz_312,Stealing,12,1
G:\event_frame_duration533326\event_frame_duration533326\Robbery\Robbery076_x264_48.npz,Robbery076_x264_48,Robbery,9,1
G:\event_frame_duration533326\event_frame_duration533326\Robbery\Robbery149_x264_77.npz,Robbery149_x264_77,Robbery,9,1
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos697_x264_108.npz,Normal_Videos697_x264_108,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos294_x264_61.npz,Normal_Videos294_x264_61,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Arson\Arson048_x264_23.npz,Arson048_x264_23,Arson,2,1
G:\event_frame_duration533326\event_frame_duration533326\Burglary\Burglary091_x264_206.npz,Burglary091_x264_206,Burglary,4,1
G:\event_frame_duration533326\event_frame_duration533326\Shoplifting\Shoplifting036_x264_228.npz,Shoplifting036_x264_228,Shoplifting,11,1
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos023_x264_109.npz,Normal_Videos023_x264_109,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos665_x264_728.npz,Normal_Videos665_x264_728,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos016_x264_226.npz,Normal_Videos016_x264_226,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Robbery\Robbery079_x264npz_46.npz,Robbery079_x264npz_46,Robbery,9,1
G:\event_frame_duration533326\event_frame_duration533326\Stealing\Stealing016_x264_152.npz,Stealing016_x264_152,Stealing,12,1
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos181_x264_257.npz,Normal_Videos181_x264_257,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Explosion\Explosion051_x264_176.npz,Explosion051_x264_176,Explosion,5,1
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos273_x264_237.npz,Normal_Videos273_x264_237,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos729_x264_102.npz,Normal_Videos729_x264_102,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos698_x264_52.npz,Normal_Videos698_x264_52,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos581_x264_167.npz,Normal_Videos581_x264_167,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos275_x264_142.npz,Normal_Videos275_x264_142,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos350_x264_91.npz,Normal_Videos350_x264_91,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos678_x264_136.npz,Normal_Videos678_x264_136,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Stealing\Stealing050_x264npz_208.npz,Stealing050_x264npz_208,Stealing,12,1
G:\event_frame_duration533326\event_frame_duration533326\Fighting\Fighting020_x264_137.npz,Fighting020_x264_137,Fighting,6,1
G:\event_frame_duration533326\event_frame_duration533326\Burglary\Burglary012_x264_105.npz,Burglary012_x264_105,Burglary,4,1
G:\event_frame_duration533326\event_frame_duration533326\Robbery\Robbery042_x264_135.npz,Robbery042_x264_135,Robbery,9,1
G:\event_frame_duration533326\event_frame_duration533326\Robbery\Robbery124_x264_596.npz,Robbery124_x264_596,Robbery,9,1
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos343_x264_52.npz,Normal_Videos343_x264_52,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Burglary\Burglary077_x264_118.npz,Burglary077_x264_118,Burglary,4,1
G:\event_frame_duration533326\event_frame_duration533326\Shooting\Shooting038_x264_81.npz,Shooting038_x264_81,Shooting,10,1
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos404_x264_216.npz,Normal_Videos404_x264_216,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Assualt\Assault020_x264_29.npz,Assault020_x264_29,Assault,3,1
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos504_x264_33.npz,Normal_Videos504_x264_33,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos549_x264_577.npz,Normal_Videos549_x264_577,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos948_x264_223.npz,Normal_Videos948_x264_223,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos243_x264_113.npz,Normal_Videos243_x264_113,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Assualt\Assault028_x264_163.npz,Assault028_x264_163,Assault,3,1
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos482_x264_270.npz,Normal_Videos482_x264_270,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos589_x264_327.npz,Normal_Videos589_x264_327,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Abuse\Abuse004_x264_1048.npz,Abuse004_x264_1048,Abuse,0,1
G:\event_frame_duration533326\event_frame_duration533326\Robbery\Robbery086_x264_449.npz,Robbery086_x264_449,Robbery,9,1
G:\event_frame_duration533326\event_frame_duration533326\Arson\Arson015_x264_637.npz,Arson015_x264_637,Arson,2,1
G:\event_frame_duration533326\event_frame_duration533326\Abuse\Abuse002_x264_53.npz,Abuse002_x264_53,Abuse,0,1
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos663_x264_51.npz,Normal_Videos663_x264_51,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Arrest\Arrest038_x264_136.npz,Arrest038_x264_136,Arrest,1,1
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos101_x264_95.npz,Normal_Videos101_x264_95,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Vandalism\Vandalism009_x264_83.npz,Vandalism009_x264_83,Vandalism,13,1
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos116_x264_282.npz,Normal_Videos116_x264_282,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos297_x264_22.npz,Normal_Videos297_x264_22,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Stealing\Stealing080_x264_65.npz,Stealing080_x264_65,Stealing,12,1
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos675_x264_87.npz,Normal_Videos675_x264_87,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos055_x264_14.npz,Normal_Videos055_x264_14,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos164_x264_644.npz,Normal_Videos164_x264_644,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos834_x264_196.npz,Normal_Videos834_x264_196,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Shoplifting\Shoplifting042_x264_320.npz,Shoplifting042_x264_320,Shoplifting,11,1
G:\event_frame_duration533326\event_frame_duration533326\Stealing\Stealing009_x264_100.npz,Stealing009_x264_100,Stealing,12,1
G:\event_frame_duration533326\event_frame_duration533326\Abuse\Abuse007_x264_68.npz,Abuse007_x264_68,Abuse,0,1
G:\event_frame_duration533326\event_frame_duration533326\Burglary\Burglary099_x264_82.npz,Burglary099_x264_82,Burglary,4,1
G:\event_frame_duration533326\event_frame_duration533326\RoadAccidents\RoadAccidents055_x264_52.npz,RoadAccidents055_x264_52,RoadAccidents,8,1
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos700_x264_418.npz,Normal_Videos700_x264_418,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos208_x264_139.npz,Normal_Videos208_x264_139,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Robbery\Robbery095_x264_78.npz,Robbery095_x264_78,Robbery,9,1
G:\event_frame_duration533326\event_frame_duration533326\Shooting\Shooting042_x264_96.npz,Shooting042_x264_96,Shooting,10,1
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos290_x264_16.npz,Normal_Videos290_x264_16,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos402_x264_36.npz,Normal_Videos402_x264_36,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Fighting\Fighting046_x264_186.npz,Fighting046_x264_186,Fighting,6,1
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos816_x264_169.npz,Normal_Videos816_x264_169,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Stealing\Stealing068_x264_428.npz,Stealing068_x264_428,Stealing,12,1
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos315_x264_94.npz,Normal_Videos315_x264_94,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos410_x264_249.npz,Normal_Videos410_x264_249,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos124_x264_86.npz,Normal_Videos124_x264_86,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos737_x264_67.npz,Normal_Videos737_x264_67,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Burglary\Burglary057_x264_345.npz,Burglary057_x264_345,Burglary,4,1
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos551_x264_3372.npz,Normal_Videos551_x264_3372,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Abuse\Abuse012_x264_318.npz,Abuse012_x264_318,Abuse,0,1
G:\event_frame_duration533326\event_frame_duration533326\Explosion\Explosion009_x264_67.npz,Explosion009_x264_67,Explosion,5,1
G:\event_frame_duration533326\event_frame_duration533326\Robbery\Robbery110_x264_158.npz,Robbery110_x264_158,Robbery,9,1
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos805_x264_169.npz,Normal_Videos805_x264_169,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Fighting\Fighting037_x264_272.npz,Fighting037_x264_272,Fighting,6,1
G:\event_frame_duration533326\event_frame_duration533326\Robbery\Robbery064_x264_88.npz,Robbery064_x264_88,Robbery,9,1
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos085_x264_322.npz,Normal_Videos085_x264_322,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Abuse\Abuse023_x264_61.npz,Abuse023_x264_61,Abuse,0,1
G:\event_frame_duration533326\event_frame_duration533326\Fighting\Fighting002_x264_166.npz,Fighting002_x264_166,Fighting,6,1
G:\event_frame_duration533326\event_frame_duration533326\Fighting\Fighting031_x264_562.npz,Fighting031_x264_562,Fighting,6,1
G:\event_frame_duration533326\event_frame_duration533326\Robbery\Robbery097_x264_220.npz,Robbery097_x264_220,Robbery,9,1
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos459_x264_464.npz,Normal_Videos459_x264_464,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos791_x264_224.npz,Normal_Videos791_x264_224,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos209_x264_38.npz,Normal_Videos209_x264_38,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos575_x264_229.npz,Normal_Videos575_x264_229,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Robbery\Robbery088_x264_294.npz,Robbery088_x264_294,Robbery,9,1
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos185_x264_574.npz,Normal_Videos185_x264_574,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Vandalism\Vandalism037_x264_188.npz,Vandalism037_x264_188,Vandalism,13,1
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos138_x264_8009_6.npz,Normal_Videos138_x264_8009_6,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos223_x264_263.npz,Normal_Videos223_x264_263,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Burglary\Burglary097_x264_18.npz,Burglary097_x264_18,Burglary,4,1
G:\event_frame_duration533326\event_frame_duration533326\Abuse\Abuse018_x264_151.npz,Abuse018_x264_151,Abuse,0,1
G:\event_frame_duration533326\event_frame_duration533326\Arrest\Arrest005_x264_229.npz,Arrest005_x264_229,Arrest,1,1
G:\event_frame_duration533326\event_frame_duration533326\Burglary\Burglary059_x264_27.npz,Burglary059_x264_27,Burglary,4,1
G:\event_frame_duration533326\event_frame_duration533326\Arrest\Arrest037_x264_132.npz,Arrest037_x264_132,Arrest,1,1
G:\event_frame_duration533326\event_frame_duration533326\Stealing\Stealing103_x264_379.npz,Stealing103_x264_379,Stealing,12,1
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos119_x264_241.npz,Normal_Videos119_x264_241,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Arrest\Arrest025_x264_65.npz,Arrest025_x264_65,Arrest,1,1
G:\event_frame_duration533326\event_frame_duration533326\Stealing\Stealing071_x264npz_59.npz,Stealing071_x264npz_59,Stealing,12,1
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos303_x264_333.npz,Normal_Videos303_x264_333,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Burglary\Burglary095_x264_2540.npz,Burglary095_x264_2540,Burglary,4,1
G:\event_frame_duration533326\event_frame_duration533326\Arson\Arson038_x264_45.npz,Arson038_x264_45,Arson,2,1
G:\event_frame_duration533326\event_frame_duration533326\RoadAccidents\RoadAccidents027_x264_5.npz,RoadAccidents027_x264_5,RoadAccidents,8,1
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos390_x264_30.npz,Normal_Videos390_x264_30,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Burglary\Burglary009_x264_158.npz,Burglary009_x264_158,Burglary,4,1
G:\event_frame_duration533326\event_frame_duration533326\RoadAccidents\RoadAccidents029_x264_31.npz,RoadAccidents029_x264_31,RoadAccidents,8,1
G:\event_frame_duration533326\event_frame_duration533326\Burglary\Burglary020_x264_206.npz,Burglary020_x264_206,Burglary,4,1
G:\event_frame_duration533326\event_frame_duration533326\Stealing\Stealing030_x264_52.npz,Stealing030_x264_52,Stealing,12,1
G:\event_frame_duration533326\event_frame_duration533326\Explosion\Explosion041_x264_171.npz,Explosion041_x264_171,Explosion,5,1
G:\event_frame_duration533326\event_frame_duration533326\Arrest\Arrest042_x264_99.npz,Arrest042_x264_99,Arrest,1,1
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos179_x264_311.npz,Normal_Videos179_x264_311,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\RoadAccidents\RoadAccidents074_x264_119.npz,RoadAccidents074_x264_119,RoadAccidents,8,1
G:\event_frame_duration533326\event_frame_duration533326\RoadAccidents\RoadAccidents034_x264_108.npz,RoadAccidents034_x264_108,RoadAccidents,8,1
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos138_x264_8009_12.npz,Normal_Videos138_x264_8009_12,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos300_x264_92.npz,Normal_Videos300_x264_92,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\RoadAccidents\RoadAccidents144_x264npz_54.npz,RoadAccidents144_x264npz_54,RoadAccidents,8,1
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos147_x264_31.npz,Normal_Videos147_x264_31,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Vandalism\Vandalism026_x264_60.npz,Vandalism026_x264_60,Vandalism,13,1
G:\event_frame_duration533326\event_frame_duration533326\Burglary\Burglary054_x264_27.npz,Burglary054_x264_27,Burglary,4,1
G:\event_frame_duration533326\event_frame_duration533326\Stealing\Stealing113_x264_97.npz,Stealing113_x264_97,Stealing,12,1
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos593_x264_163.npz,Normal_Videos593_x264_163,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos762_x264_1397.npz,Normal_Videos762_x264_1397,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\RoadAccidents\RoadAccidents057_x264npz_130.npz,RoadAccidents057_x264npz_130,RoadAccidents,8,1
G:\event_frame_duration533326\event_frame_duration533326\Stealing\Stealing112_x264_130.npz,Stealing112_x264_130,Stealing,12,1
G:\event_frame_duration533326\event_frame_duration533326\Shooting\Shooting023_x264_26.npz,Shooting023_x264_26,Shooting,10,1
G:\event_frame_duration533326\event_frame_duration533326\Arrest\Arrest016_x264_661.npz,Arrest016_x264_661,Arrest,1,1
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos598_x264_457.npz,Normal_Videos598_x264_457,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Stealing\Stealing063_x264_723.npz,Stealing063_x264_723,Stealing,12,1
G:\event_frame_duration533326\event_frame_duration533326\Arrest\Arrest002_x264_111.npz,Arrest002_x264_111,Arrest,1,1
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos732_x264_94.npz,Normal_Videos732_x264_94,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos804_x264_171.npz,Normal_Videos804_x264_171,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Robbery\Robbery089_x264_16.npz,Robbery089_x264_16,Robbery,9,1
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos040_x264_60.npz,Normal_Videos040_x264_60,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Robbery\Robbery044_x264_29.npz,Robbery044_x264_29,Robbery,9,1
G:\event_frame_duration533326\event_frame_duration533326\Arson\Arson039_x264_209.npz,Arson039_x264_209,Arson,2,1
G:\event_frame_duration533326\event_frame_duration533326\RoadAccidents\RoadAccidents028_x264_36.npz,RoadAccidents028_x264_36,RoadAccidents,8,1
G:\event_frame_duration533326\event_frame_duration533326\Robbery\Robbery119_x264_191.npz,Robbery119_x264_191,Robbery,9,1
G:\event_frame_duration533326\event_frame_duration533326\RoadAccidents\RoadAccidents142_x264_269.npz,RoadAccidents142_x264_269,RoadAccidents,8,1
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos074_x264_126.npz,Normal_Videos074_x264_126,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos728_x264_140.npz,Normal_Videos728_x264_140,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos222_x264_58.npz,Normal_Videos222_x264_58,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Robbery\Robbery024_x264_149.npz,Robbery024_x264_149,Robbery,9,1
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos749_x264_59.npz,Normal_Videos749_x264_59,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos712_x264_223.npz,Normal_Videos712_x264_223,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\RoadAccidents\RoadAccidents134_x264_17.npz,RoadAccidents134_x264_17,RoadAccidents,8,1
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos372_x264_40.npz,Normal_Videos372_x264_40,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos754_x264_101.npz,Normal_Videos754_x264_101,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos089_x264_1227.npz,Normal_Videos089_x264_1227,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos447_x264_840.npz,Normal_Videos447_x264_840,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos262_x264_447.npz,Normal_Videos262_x264_447,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos813_x264_168.npz,Normal_Videos813_x264_168,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos691_x264_981.npz,Normal_Videos691_x264_981,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos420_x264_682.npz,Normal_Videos420_x264_682,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos851_x264_122.npz,Normal_Videos851_x264_122,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos858_x264_76.npz,Normal_Videos858_x264_76,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\RoadAccidents\RoadAccidents003_x264_92.npz,RoadAccidents003_x264_92,RoadAccidents,8,1
G:\event_frame_duration533326\event_frame_duration533326\Explosion\Explosion023_x264_145.npz,Explosion023_x264_145,Explosion,5,1
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos087_x264_5060.npz,Normal_Videos087_x264_5060,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos160_x264_224.npz,Normal_Videos160_x264_224,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Robbery\Robbery056_x264_172.npz,Robbery056_x264_172,Robbery,9,1
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos249_x264_38.npz,Normal_Videos249_x264_38,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\RoadAccidents\RoadAccidents023_x264_218.npz,RoadAccidents023_x264_218,RoadAccidents,8,1
G:\event_frame_duration533326\event_frame_duration533326\Normal_Videos\Normal_Videos520_x264_3175.npz,Normal_Videos520_x264_3175,Normal_Videos,7,0
G:\event_frame_duration533326\event_frame_duration533326\Robbery\Robbery098_x264_756.npz,Robbery098_x264_756,Robbery,9,1
